,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
106,2012-07-23 13:13:10,1343041990.0,ges,28.26,-66.6980909734,1350.52002,-7.29608079951,-59.4020101739,1.05,10.42,0.95,2.14,9.32,14.44,13.40,21.41,29.42,2070000000.0,2070000000.0,9.55,0.97,0.77,4.43,0.77,1160000000.0,4.43,247520000.0,2.71,37.60,2.20,489970000.0,5.45,12740000.0,3.19,13.20,353310000.0,1.89,30.70,71.10,8530000.0,4.80,13.20,7440000.0,underperform
107,2012-09-21 08:18:43,1348208323.0,ges,27.16,-67.9943436248,1460.150024,0.229265646497,-68.2236092713,1.06,10.65,0.88,2.20,8.80,12.55,11.81,20.77,29.36,2040000000.0,2040000000.0,10.41,1.15,0.78,4.94,0.78,1160000000.0,4.94,229980000.0,2.55,29.30,6.20,281510000.0,3.31,11350000.0,2.80,12.34,320770000.0,1.82,30.70,71.10,6810000.0,3.50,10.50,6290000.0,underperform
108,2012-02-11 10:15:16,1328951716.0,tyc,49.25,85.011269722,1349.959961,21.4080066534,63.6032630686,29.03,16.57,1.33,1.61,8.19,12.04,4.89,9.88,36.72,25860000000.0,25860000000.0,11.92,1.04,1.51,7.61,1.51,6610000000.0,7.61,1410000000.0,2.97,49.50,3.90,1010000000.0,2.20,4170000000.0,1.54,30.84,2530000000.0,0.95,0.17,89.30,2620000.0,0.90,0.60,4990000.0,outperform
109,2012-03-27 16:14:01,1332857641.0,tyc,53.6,101.352366642,1412.52002,27.0343157875,74.3180508541,29.03,18.02,1.43,1.72,8.19,12.04,4.89,9.88,36.72,27680000000.0,27680000000.0,12.97,1.12,1.61,8.15,1.61,6610000000.0,8.15,1410000000.0,2.97,49.50,3.90,1010000000.0,2.20,4170000000.0,1.54,30.84,2530000000.0,1.01,0.17,89.30,2880000.0,1.00,0.60,2950000.0,outperform
110,2013-04-22 03:40:17,1366594817.0,tyc,31.32,17.6558978212,1562.5,40.5226939141,-22.8667960929,28.92,46.40,1.37,2.80,2.97,8.21,2.80,2.76,22.71,15590000000.0,15590000000.0,14.70,1.05,1.48,12.12,1.48,3780000000.0,12.12,271000000.0,0.68,49.40,4.90,501000000.0,1.08,1490000000.0,1.49,11.02,2210000000.0,0.86,0.25,90.10,2540000.0,1.00,0.50,3700000.0,underperform
111,2011-04-21 06:45:55,1303361155.0,tyc,48.96,83.9218632607,1337.380005,20.2766342973,63.6452289634,29.26,16.12,1.40,1.72,8.64,10.52,4.36,9.67,35.33,26270000000.0,26270000000.0,13.71,1.33,1.52,8.60,1.52,6280000000.0,8.60,1320000000.0,3.04,118.20,5.40,2060000000.0,4.35,4150000000.0000005,1.51,29.68,26270000000.0,1.22,0.08,88.10,3300000.0,1.00,0.70,3560000.0,outperform
112,2005-04-18 07:52:22,1113803542.0,tyc,31.33,17.6934635612,1145.97998,3.06316413521,14.630299426,0.484,21.99,1.56,1.97,7.49,13.50,4.80,10.03,18.364,63070000000.0,75170000000.0,13.62,1.03,1.85,9.83,1.85,14500000000.0,9.83,3030000000.0,1.43,193.90,9.10,3440000000.0,1.71,15530000000.0,1.884,15.934,5140000000.0,2.007,1.00,84.14,58660000.0,5.687,2.94,54510000.0,outperform
113,2005-03-06 04:20:42,1110079242.0,tyc,35.62,33.8091660406,1210.469971,8.86304078533,24.9461252552,0.484,25.00,1.72,2.17,7.49,13.50,4.80,10.03,18.364,71710000000.0,83800000000.0,15.49,1.16,2.07,10.96,2.07,14500000000.0,10.96,3030000000.0,1.43,193.90,9.10,3440000000.0,1.71,15530000000.0,1.884,15.934,5140000000.0,2.162,1.00,83.87,54510000.0,5.743,2.74,54450000.0,outperform
114,2005-02-20 13:39:33,1108903173.0,tyc,33.61,26.2584522915,1200.75,7.98887981913,18.2695724724,0.484,23.59,1.65,2.08,7.49,13.50,4.80,10.03,18.364,67660000000.0,79760000000.0,14.61,1.09,1.97,10.44,1.97,14500000000.0,10.44,3030000000.0,1.43,193.90,9.10,3440000000.0,1.71,15530000000.0,1.884,15.934,5140000000.0,2.162,1.00,80.06,54450000.0,6.233,2.73,63220000.0,outperform
115,2013-05-23 19:16:41,1369329401.0,tyc,34.08,28.0240420736,1650.51001,48.43783228,-20.4137902063,31.46,279.59,1.49,3.35,0.59,7.45,2.53,3.42,22.80,16810000000.0,16810000000.0,15.87,1.14,1.59,13.86,1.59,3780000000.0,13.86,331000000.0,0.12,77.70,2.60,576000000.0,1.24,1490000000.0,1.33,10.18,1740000000.0,0.86,0.25,90.10,2490000.0,0.70,0.50,3300000.0,underperform
116,2012-03-26 05:05:30,1332731130.0,tyc,52.86,98.5725018783,1416.51001,27.3931536394,71.1793482389,29.03,17.79,1.42,1.72,8.19,12.04,4.89,9.88,36.72,27530000000.0,27530000000.0,12.80,1.11,1.60,8.10,1.60,6610000000.0,8.10,1410000000.0,2.97,49.50,3.90,1010000000.0,2.20,4170000000.0,1.54,30.84,2530000000.0,1.01,0.17,89.30,2880000.0,1.00,0.60,2950000.0,outperform
117,2012-03-26 20:54:31,1332788071.0,tyc,53.19,99.8121712998,1416.51001,27.3931536394,72.4190176604,29.03,17.90,1.42,1.71,8.19,12.04,4.89,9.88,36.72,27530000000.0,27530000000.0,12.88,1.11,1.60,8.10,1.60,6610000000.0,8.10,1410000000.0,2.97,49.50,3.90,1010000000.0,2.20,4170000000.0,1.54,30.84,2530000000.0,1.01,0.17,89.30,2880000.0,1.00,0.60,2950000.0,outperform
